UK BANK HOLIDAYS,holiday
26-Mar-2035,1
7-May-2035,1
28-May-2035,1
27-Aug-2035,1
25-Dec-2035,1
26-Dec-2035,1
1-Jan-2036,1
11-Apr-2036,1
14-Apr-2036,1
5-May-2036,1
26-May-2036,1
25-Aug-2036,1
25-Dec-2036,1
26-Dec-2036,1
1-Jan-2037,1
3-Apr-2037,1
6-Apr-2037,1
4-May-2037,1
25-May-2037,1
31-Aug-2037,1
25-Dec-2037,1
28-Dec-2037,1
1-Jan-2038,1
23-Apr-2038,1
26-Apr-2038,1
3-May-2038,1
31-May-2038,1
30-Aug-2038,1
27-Dec-2038,1
28-Dec-2038,1
3-Jan-2039,1
8-Apr-2039,1
11-Apr-2039,1
2-May-2039,1
30-May-2039,1
29-Aug-2039,1
26-Dec-2039,1
27-Dec-2039,1
2-Jan-2040,1
30-Mar-2040,1
2-Apr-2040,1
7-May-2040,1
28-May-2040,1
27-Aug-2040,1
25-Dec-2040,1
26-Dec-2040,1
1-Jan-2041,1
19-Apr-2041,1
22-Apr-2041,1
6-May-2041,1
27-May-2041,1
26-Aug-2041,1
25-Dec-2041,1
26-Dec-2041,1
1-Jan-2042,1
4-Apr-2042,1
7-Apr-2042,1
5-May-2042,1
26-May-2042,1
25-Aug-2042,1
25-Dec-2042,1
26-Dec-2042,1
1-Jan-2043,1
27-Mar-2043,1
30-Mar-2043,1
4-May-2043,1
25-May-2043,1
31-Aug-2043,1
25-Dec-2043,1
28-Dec-2043,1
1-Jan-2044,1
15-Apr-2044,1
18-Apr-2044,1
2-May-2044,1
30-May-2044,1
29-Aug-2044,1
26-Dec-2044,1
27-Dec-2044,1
2-Jan-2045,1
7-Apr-2045,1
10-Apr-2045,1
1-May-2045,1
29-May-2045,1
28-Aug-2045,1
25-Dec-2045,1
26-Dec-2045,1
1-Jan-2046,1
23-Mar-2046,1
26-Mar-2046,1
7-May-2046,1
28-May-2046,1
27-Aug-2046,1
25-Dec-2046,1
26-Dec-2046,1
1-Jan-2047,1
12-Apr-2047,1
15-Apr-2047,1
6-May-2047,1
27-May-2047,1
26-Aug-2047,1
25-Dec-2047,1
26-Dec-2047,1
1-Jan-2048,1
3-Apr-2048,1
6-Apr-2048,1
4-May-2048,1
25-May-2048,1
31-Aug-2048,1
25-Dec-2048,1
28-Dec-2048,1
1-Jan-2049,1
16-Apr-2049,1
19-Apr-2049,1
3-May-2049,1
31-May-2049,1
30-Aug-2049,1
27-Dec-2049,1
28-Dec-2049,1
3-Jan-2050,1
8-Apr-2050,1
11-Apr-2050,1
2-May-2050,1
30-May-2050,1
29-Aug-2050,1
26-Dec-2050,1
27-Dec-2050,1
2-Jan-2051,1
31-Mar-2051,1
3-Apr-2051,1
1-May-2051,1
29-May-2051,1
28-Aug-2051,1
25-Dec-2051,1
26-Dec-2051,1
1-Jan-2052,1
19-Apr-2052,1
22-Apr-2052,1
6-May-2052,1
27-May-2052,1
26-Aug-2052,1
25-Dec-2052,1
26-Dec-2052,1
1-Jan-2053,1
4-Apr-2053,1
7-Apr-2053,1
5-May-2053,1
26-May-2053,1
25-Aug-2053,1
25-Dec-2053,1
26-Dec-2053,1
1-Jan-2054,1
27-Mar-2054,1
30-Mar-2054,1
4-May-2054,1
25-May-2054,1
31-Aug-2054,1
25-Dec-2054,1
28-Dec-2054,1
1-Jan-2055,1
16-Apr-2055,1
19-Apr-2055,1
3-May-2055,1
31-May-2055,1
30-Aug-2055,1
27-Dec-2055,1
28-Dec-2055,1
3-Jan-2056,1
31-Mar-2056,1
3-Apr-2056,1
1-May-2056,1
29-May-2056,1
28-Aug-2056,1
25-Dec-2056,1
26-Dec-2056,1
1-Jan-2057,1
20-Apr-2057,1
23-Apr-2057,1
7-May-2057,1
28-May-2057,1
27-Aug-2057,1
25-Dec-2057,1
26-Dec-2057,1
1-Jan-2058,1
12-Apr-2058,1
15-Apr-2058,1
6-May-2058,1
27-May-2058,1
26-Aug-2058,1
25-Dec-2058,1
26-Dec-2058,1
1-Jan-2059,1
28-Mar-2059,1
31-Mar-2059,1
5-May-2059,1
26-May-2059,1
25-Aug-2059,1
25-Dec-2059,1
26-Dec-2059,1
1-Jan-2060,1
16-Apr-2060,1
19-Apr-2060,1
3-May-2060,1
31-May-2060,1
30-Aug-2060,1
27-Dec-2060,1
28-Dec-2060,1
3-Jan-2061,1
8-Apr-2061,1
11-Apr-2061,1
2-May-2061,1
30-May-2061,1
29-Aug-2061,1
26-Dec-2061,1
27-Dec-2061,1
2-Jan-2062,1
24-Mar-2062,1
27-Mar-2062,1
1-May-2062,1
29-May-2062,1
28-Aug-2062,1
25-Dec-2062,1
26-Dec-2062,1
1-Jan-2063,1
13-Apr-2063,1
16-Apr-2063,1
7-May-2063,1
28-May-2063,1
27-Aug-2063,1
25-Dec-2063,1
26-Dec-2063,1
1-Jan-2064,1
4-Apr-2064,1
7-Apr-2064,1
5-May-2064,1
26-May-2064,1
25-Aug-2064,1
25-Dec-2064,1
26-Dec-2064,1
1-Jan-2065,1
27-Mar-2065,1
30-Mar-2065,1
4-May-2065,1
25-May-2065,1
31-Aug-2065,1
25-Dec-2065,1
28-Dec-2065,1
1-Jan-2066,1
9-Apr-2066,1
12-Apr-2066,1
3-May-2066,1
31-May-2066,1
30-Aug-2066,1
27-Dec-2066,1
28-Dec-2066,1
3-Jan-2067,1
1-Apr-2067,1
4-Apr-2067,1
2-May-2067,1
30-May-2067,1
29-Aug-2067,1
26-Dec-2067,1
27-Dec-2067,1
2-Jan-2068,1
20-Apr-2068,1
23-Apr-2068,1
7-May-2068,1
28-May-2068,1
27-Aug-2068,1
25-Dec-2068,1
26-Dec-2068,1
1-Jan-2069,1
12-Apr-2069,1
15-Apr-2069,1
6-May-2069,1
27-May-2069,1
26-Aug-2069,1
25-Dec-2069,1
26-Dec-2069,1
1-Jan-2070,1
28-Mar-2070,1
31-Mar-2070,1
5-May-2070,1
26-May-2070,1
25-Aug-2070,1
25-Dec-2070,1
26-Dec-2070,1
1-Jan-2071,1
17-Apr-2071,1
20-Apr-2071,1
4-May-2071,1
25-May-2071,1
31-Aug-2071,1
25-Dec-2071,1
28-Dec-2071,1
1-Jan-2072,1
8-Apr-2072,1
11-Apr-2072,1
2-May-2072,1
30-May-2072,1
29-Aug-2072,1
26-Dec-2072,1
27-Dec-2072,1
2-Jan-2073,1
24-Mar-2073,1
27-Mar-2073,1
1-May-2073,1
29-May-2073,1
28-Aug-2073,1
25-Dec-2073,1
26-Dec-2073,1
1-Jan-2074,1
13-Apr-2074,1
16-Apr-2074,1
7-May-2074,1
28-May-2074,1
27-Aug-2074,1
25-Dec-2074,1
26-Dec-2074,1
1-Jan-2075,1
5-Apr-2075,1
8-Apr-2075,1
6-May-2075,1
27-May-2075,1
26-Aug-2075,1
25-Dec-2075,1
26-Dec-2075,1
1-Jan-2076,1
17-Apr-2076,1
20-Apr-2076,1
4-May-2076,1
25-May-2076,1
31-Aug-2076,1
25-Dec-2076,1
28-Dec-2076,1
1-Jan-2077,1
9-Apr-2077,1
12-Apr-2077,1
3-May-2077,1
31-May-2077,1
30-Aug-2077,1
27-Dec-2077,1
28-Dec-2077,1
3-Jan-2078,1
1-Apr-2078,1
4-Apr-2078,1
2-May-2078,1
30-May-2078,1
29-Aug-2078,1
26-Dec-2078,1
27-Dec-2078,1
2-Jan-2079,1
21-Apr-2079,1
24-Apr-2079,1
1-May-2079,1
29-May-2079,1
28-Aug-2079,1
25-Dec-2079,1
26-Dec-2079,1
1-Jan-2080,1
5-Apr-2080,1
8-Apr-2080,1
6-May-2080,1
27-May-2080,1
26-Aug-2080,1
25-Dec-2080,1
26-Dec-2080,1
1-Jan-2081,1
28-Mar-2081,1
31-Mar-2081,1
5-May-2081,1
26-May-2081,1
25-Aug-2081,1
25-Dec-2081,1
26-Dec-2081,1
1-Jan-2082,1
17-Apr-2082,1
20-Apr-2082,1
4-May-2082,1
25-May-2082,1
31-Aug-2082,1
25-Dec-2082,1
28-Dec-2082,1
1-Jan-2083,1
2-Apr-2083,1
5-Apr-2083,1
3-May-2083,1
31-May-2083,1
30-Aug-2083,1
27-Dec-2083,1
28-Dec-2083,1
3-Jan-2084,1
24-Mar-2084,1
27-Mar-2084,1
1-May-2084,1
29-May-2084,1
28-Aug-2084,1
25-Dec-2084,1
26-Dec-2084,1
1-Jan-2085,1
13-Apr-2085,1
16-Apr-2085,1
7-May-2085,1
28-May-2085,1
27-Aug-2085,1
25-Dec-2085,1
26-Dec-2085,1
1-Jan-2086,1
29-Mar-2086,1
1-Apr-2086,1
6-May-2086,1
27-May-2086,1
26-Aug-2086,1
25-Dec-2086,1
26-Dec-2086,1
1-Jan-2087,1
18-Apr-2087,1
21-Apr-2087,1
5-May-2087,1
26-May-2087,1
25-Aug-2087,1
25-Dec-2087,1
26-Dec-2087,1
1-Jan-2088,1
9-Apr-2088,1
12-Apr-2088,1
3-May-2088,1
31-May-2088,1
30-Aug-2088,1
27-Dec-2088,1
28-Dec-2088,1
3-Jan-2089,1
1-Apr-2089,1
4-Apr-2089,1
2-May-2089,1
30-May-2089,1
29-Aug-2089,1
26-Dec-2089,1
27-Dec-2089,1
2-Jan-2090,1
14-Apr-2090,1
17-Apr-2090,1
1-May-2090,1
29-May-2090,1
28-Aug-2090,1
25-Dec-2090,1
26-Dec-2090,1
1-Jan-2091,1
6-Apr-2091,1
9-Apr-2091,1
7-May-2091,1
28-May-2091,1
27-Aug-2091,1
25-Dec-2091,1
26-Dec-2091,1
1-Jan-2092,1
28-Mar-2092,1
31-Mar-2092,1
5-May-2092,1
26-May-2092,1
25-Aug-2092,1
25-Dec-2092,1
26-Dec-2092,1
1-Jan-2093,1
10-Apr-2093,1
13-Apr-2093,1
4-May-2093,1
25-May-2093,1
31-Aug-2093,1
25-Dec-2093,1
28-Dec-2093,1
1-Jan-2094,1
2-Apr-2094,1
5-Apr-2094,1
3-May-2094,1
31-May-2094,1
30-Aug-2094,1
27-Dec-2094,1
28-Dec-2094,1
3-Jan-2095,1
22-Apr-2095,1
25-Apr-2095,1
2-May-2095,1
30-May-2095,1
29-Aug-2095,1
26-Dec-2095,1
27-Dec-2095,1
2-Jan-2096,1
13-Apr-2096,1
16-Apr-2096,1
7-May-2096,1
28-May-2096,1
27-Aug-2096,1
25-Dec-2096,1
26-Dec-2096,1
1-Jan-2097,1
29-Mar-2097,1
1-Apr-2097,1
6-May-2097,1
27-May-2097,1
26-Aug-2097,1
25-Dec-2097,1
26-Dec-2097,1
1-Jan-2098,1
18-Apr-2098,1
21-Apr-2098,1
5-May-2098,1
26-May-2098,1
25-Aug-2098,1
25-Dec-2098,1
26-Dec-2098,1
1-Jan-2099,1
10-Apr-2099,1
13-Apr-2099,1
4-May-2099,1
25-May-2099,1
31-Aug-2099,1
25-Dec-2099,1
28-Dec-2099,1
1-Jan-2100,1
26-Mar-2100,1
29-Mar-2100,1
3-May-2100,1
31-May-2100,1
30-Aug-2100,1
27-Dec-2100,1
28-Dec-2100,1
3-Jan-2101,1
15-Apr-2101,1
18-Apr-2101,1
2-May-2101,1
30-May-2101,1
29-Aug-2101,1
26-Dec-2101,1
27-Dec-2101,1
2-Jan-2102,1
7-Apr-2102,1
10-Apr-2102,1
1-May-2102,1
29-May-2102,1
28-Aug-2102,1
25-Dec-2102,1
26-Dec-2102,1
1-Jan-2103,1
23-Mar-2103,1
26-Mar-2103,1
7-May-2103,1
28-May-2103,1
27-Aug-2103,1
25-Dec-2103,1
26-Dec-2103,1
1-Jan-2104,1
11-Apr-2104,1
14-Apr-2104,1
5-May-2104,1
26-May-2104,1
25-Aug-2104,1
25-Dec-2104,1
26-Dec-2104,1
1-Jan-2105,1
3-Apr-2105,1
6-Apr-2105,1
4-May-2105,1
25-May-2105,1
31-Aug-2105,1
25-Dec-2105,1
28-Dec-2105,1
1-Jan-2106,1
16-Apr-2106,1
19-Apr-2106,1
3-May-2106,1
31-May-2106,1
30-Aug-2106,1
27-Dec-2106,1
28-Dec-2106,1
3-Jan-2107,1
8-Apr-2107,1
11-Apr-2107,1
2-May-2107,1
30-May-2107,1
29-Aug-2107,1
26-Dec-2107,1
27-Dec-2107,1
2-Jan-2108,1
30-Mar-2108,1
2-Apr-2108,1
7-May-2108,1
28-May-2108,1
27-Aug-2108,1
25-Dec-2108,1
26-Dec-2108,1
1-Jan-2109,1
19-Apr-2109,1
22-Apr-2109,1
6-May-2109,1
27-May-2109,1
26-Aug-2109,1
25-Dec-2109,1
26-Dec-2109,1
1-Jan-2110,1
4-Apr-2110,1
7-Apr-2110,1
5-May-2110,1
26-May-2110,1
25-Aug-2110,1
25-Dec-2110,1
26-Dec-2110,1
